<<<<<<< HEAD
review_id,order_id,product_id,review_date,rating,review_title
REV-0000090,475,676,2012-07-20,5,Highly recommend
REV-0000091,477,992,2012-07-20,4,Works well
REV-0000092,484,631,2012-07-24,4,Works well
REV-0000095,520,1870,2012-07-20,4,Works well
REV-0000097,536,475,2012-08-07,5,Highly recommend
REV-0000099,544,691,2012-08-10,4,Happy with purchase
REV-0000100,546,826,2012-07-21,5,Excellent product!
REV-0000101,554,635,2012-08-08,5,Very satisfied
REV-0000102,564,676,2012-07-28,4,Works well
REV-0000103,566,532,2012-08-03,3,"Decent, nothing special"
REV-0000106,581,573,2012-07-23,3,Average product
REV-0000107,583,936,2012-08-05,4,Good overall
REV-0000108,589,559,2012-08-05,1,Very disappointed
REV-0000109,590,604,2012-07-17,4,Solid choice
REV-0000110,593,769,2012-07-17,1,Very disappointed
REV-0000111,593,770,2012-08-10,1,Poor quality
REV-0000113,598,739,2012-07-26,4,Works well
REV-0000114,598,740,2012-07-26,5,Excellent product!
REV-0000115,602,740,2012-07-24,5,Excellent product!
REV-0000117,612,596,2012-08-02,5,Great quality
REV-0000118,614,635,2012-07-24,5,Great quality
REV-0000119,616,964,2012-07-20,4,Works well
REV-0000121,618,726,2012-07-15,4,Solid choice
REV-0000122,619,725,2012-08-02,4,Happy with purchase
REV-0000123,635,989,2012-08-02,4,Good overall
REV-0000124,642,826,2012-07-19,4,Solid choice
REV-0000125,649,604,2012-07-31,4,Good overall
REV-0000128,664,396,2012-07-26,4,Happy with purchase
REV-0000130,667,488,2012-07-28,1,Poor quality
REV-0000131,673,574,2012-07-18,5,Excellent product!
REV-0000132,679,915,2012-08-10,4,Happy with purchase
REV-0000134,696,573,2012-07-31,1,Poor quality
REV-0000135,706,467,2012-07-18,5,Very satisfied
REV-0000136,708,726,2012-07-26,5,Highly recommend
REV-0000138,725,676,2012-07-20,5,Highly recommend
REV-0000139,726,2054,2012-07-25,5,Highly recommend
REV-0000140,738,443,2012-07-19,3,"Decent, nothing special"
REV-0000142,756,725,2012-07-30,4,Happy with purchase
REV-0000143,756,726,2012-08-13,5,Highly recommend
REV-0000144,757,1486,2012-07-24,5,Very satisfied
REV-0000145,764,396,2012-07-24,5,Excellent product!
REV-0000146,766,2252,2012-08-02,5,Highly recommend
REV-0000147,766,2253,2012-08-19,5,Highly recommend
REV-0000148,769,990,2012-08-11,5,Great quality
REV-0000150,781,596,2012-08-08,5,Great quality
REV-0000151,786,725,2012-08-10,2,Below expectations
REV-0000152,787,768,2012-08-08,5,Highly recommend
REV-0000153,793,1432,2012-08-12,4,Works well
REV-0000154,794,2263,2012-08-15,2,Would not reorder
REV-0000155,811,785,2012-07-29,3,"Decent, nothing special"
REV-0000156,820,1862,2012-07-14,5,Highly recommend
REV-0000158,824,2064,2012-08-13,1,Would not recommend
REV-0000159,832,1085,2012-07-27,3,Mixed feelings
REV-0000160,836,1229,2012-07-30,4,Happy with purchase
REV-0000161,838,1112,2012-07-29,5,Excellent product!
REV-0000162,842,2352,2012-07-30,4,Good overall
REV-0000163,851,2254,2012-07-21,4,Happy with purchase
REV-0000166,869,2353,2012-07-15,4,Happy with purchase
REV-0000167,871,604,2012-07-29,4,Solid choice
REV-0000168,878,1909,2012-07-18,5,Very satisfied
REV-0000169,889,1131,2012-07-22,3,"Decent, nothing special"
REV-0000170,907,1215,2012-07-18,4,Good overall
REV-0000171,909,967,2012-08-01,4,Works well
REV-0000173,920,2353,2012-07-31,2,Below expectations
REV-0000176,931,2022,2012-08-14,5,Excellent product!
REV-0000177,932,2112,2012-07-24,4,Solid choice
REV-0000178,938,1425,2012-08-06,5,Very satisfied
REV-0000179,943,2295,2012-08-09,4,Works well
REV-0000180,951,606,2012-08-05,4,Good overall
REV-0000181,952,1173,2012-08-16,4,Solid choice
REV-0000182,958,1227,2012-07-31,3,"Decent, nothing special"
REV-0000183,962,964,2012-08-05,4,Works well
REV-0000184,972,396,2012-08-07,1,Would not recommend
REV-0000185,974,2251,2012-07-15,5,Great quality
REV-0000186,984,671,2012-08-15,3,Mixed feelings
REV-0000188,986,2373,2012-08-03,5,Great quality
REV-0000189,988,573,2012-07-19,4,Solid choice
REV-0000190,997,976,2012-07-28,4,Works well
REV-0000191,1006,981,2012-08-04,4,Good overall
REV-0000194,1023,609,2012-08-01,1,Not as described
REV-0000195,1041,467,2012-08-06,5,Great quality
REV-0000198,1062,604,2012-08-13,5,Very satisfied
REV-0000199,1079,1143,2012-08-14,3,"Decent, nothing special"
REV-0000200,1092,604,2012-07-26,4,Solid choice
REV-0000201,1096,992,2012-07-21,4,Works well
REV-0000202,1097,1966,2012-07-24,5,Highly recommend
REV-0000204,1104,2332,2012-08-09,4,Works well
REV-0000205,1108,2047,2012-07-24,4,Happy with purchase
REV-0000206,1113,729,2012-08-13,4,Good overall
REV-0000209,1129,475,2012-08-08,4,Works well
REV-0000211,1146,2016,2012-07-17,3,Average product
REV-0000212,1149,604,2012-08-18,5,Great quality
REV-0000213,1158,1490,2012-08-17,5,Very satisfied
REV-0000214,1168,2205,2012-07-27,3,Mixed feelings
REV-0000215,1171,671,2012-08-16,4,Solid choice
REV-0000216,1174,1436,2012-07-19,2,Some issues
REV-0000217,1182,484,2012-08-08,4,Works well
REV-0000219,1200,574,2012-07-29,4,Works well
REV-0000220,1201,1057,2012-08-11,1,Poor quality
REV-0000221,1201,1058,2012-07-24,3,Average product
REV-0000222,1203,1201,2012-08-06,3,Mixed feelings
REV-0000223,1208,600,2012-08-07,5,Very satisfied
REV-0000225,1211,2254,2012-08-18,4,Solid choice
REV-0000227,1213,826,2012-07-26,1,Very disappointed
REV-0000229,1218,725,2012-08-06,4,Solid choice
REV-0000230,1225,758,2012-08-15,4,Good overall
REV-0000232,1234,574,2012-07-27,3,"Decent, nothing special"
REV-0000233,1238,475,2012-08-11,4,Works well
REV-0000235,1241,767,2012-07-18,5,Excellent product!
REV-0000237,1251,635,2012-08-07,4,Solid choice
REV-0000238,1258,1062,2012-08-11,5,Excellent product!
REV-0000239,1260,691,2012-08-07,4,Good overall
REV-0000241,1271,676,2012-08-07,5,Very satisfied
REV-0000242,1274,725,2012-07-29,4,Happy with purchase
REV-0000243,1277,976,2012-07-24,4,Happy with purchase
REV-0000244,1279,559,2012-07-17,4,Good overall
REV-0000245,1287,475,2012-08-03,2,Some issues
REV-0000246,1291,533,2012-07-22,5,Very satisfied
REV-0000247,1293,600,2012-08-11,5,Excellent product!
REV-0000251,1307,1203,2012-07-27,2,Would not reorder
REV-0000252,1325,1352,2012-08-09,5,Great quality
REV-0000253,1333,729,2012-08-04,5,Highly recommend
REV-0000254,1337,1201,2012-08-04,4,Solid choice
REV-0000255,1341,604,2012-07-26,5,Very satisfied
REV-0000256,1345,604,2012-08-15,5,Excellent product!
REV-0000257,1347,609,2012-07-28,5,Excellent product!
REV-0000258,1352,1182,2012-08-10,4,Happy with purchase
REV-0000259,1355,691,2012-08-01,4,Good overall
REV-0000261,1364,2277,2012-08-02,4,Good overall
REV-0000264,1380,2331,2012-07-19,4,Good overall
REV-0000266,1392,2388,2012-08-06,5,Very satisfied
REV-0000267,1400,2091,2012-07-22,4,Happy with purchase
REV-0000268,1405,2371,2012-07-24,4,Works well
REV-0000269,1407,954,2012-08-05,3,"Decent, nothing special"
REV-0000270,1420,1974,2012-07-23,5,Highly recommend
REV-0000271,1424,550,2012-08-10,4,Works well
REV-0000272,1426,992,2012-08-07,5,Excellent product!
REV-0000273,1430,510,2012-08-01,4,Good overall
REV-0000274,1433,726,2012-08-17,4,Happy with purchase
REV-0000275,1442,2343,2012-07-31,4,Good overall
REV-0000277,1450,512,2012-08-06,5,Excellent product!
REV-0000278,1456,1203,2012-08-02,5,Excellent product!
REV-0000279,1457,495,2012-08-09,5,Excellent product!
REV-0000281,1471,768,2012-07-22,3,"Decent, nothing special"
REV-0000282,1477,1232,2012-08-07,3,Mixed feelings
REV-0000283,1481,2373,2012-08-15,5,Very satisfied
REV-0000285,1492,1005,2012-08-03,4,Happy with purchase
REV-0000286,1504,2255,2012-08-10,5,Very satisfied
REV-0000287,1505,2254,2012-08-18,4,Solid choice
REV-0000288,1510,1017,2012-08-04,5,Highly recommend
REV-0000289,1512,1203,2012-07-31,3,"Decent, nothing special"
REV-0000290,1512,1230,2012-07-16,5,Very satisfied
REV-0000291,1532,1086,2012-07-27,5,Great quality
REV-0000292,1533,1085,2012-08-07,4,Works well
REV-0000293,1548,2145,2012-07-29,4,Good overall
REV-0000294,1549,2149,2012-08-02,4,Solid choice
REV-0000295,1554,426,2012-08-14,4,Solid choice
REV-0000296,1559,396,2012-07-27,5,Very satisfied
REV-0000297,1571,739,2012-08-03,4,Solid choice
REV-0000298,1572,1086,2012-07-20,5,Great quality
REV-0000299,1574,609,2012-08-10,3,"Decent, nothing special"
REV-0000300,1583,635,2012-08-01,4,Works well
REV-0000301,1585,559,2012-08-13,5,Excellent product!
REV-0000302,1587,1213,2012-07-20,5,Very satisfied
REV-0000303,1588,573,2012-07-19,2,Below expectations
REV-0000304,1604,992,2012-07-16,5,Very satisfied
REV-0000305,1605,826,2012-08-06,3,Mixed feelings
REV-0000306,1613,1041,2012-07-29,1,Poor quality
REV-0000307,1628,2359,2012-07-17,5,Very satisfied
REV-0000308,1629,966,2012-07-21,5,Great quality
REV-0000309,1652,1148,2012-07-31,4,Happy with purchase
REV-0000310,1658,967,2012-08-05,5,Very satisfied
REV-0000311,1666,786,2012-07-24,2,Some issues
REV-0000312,1678,2359,2012-07-21,4,Solid choice
REV-0000313,1679,936,2012-07-21,4,Happy with purchase
REV-0000314,1680,2016,2012-07-30,5,Highly recommend
REV-0000315,1684,2053,2012-07-27,3,Mixed feelings
REV-0000317,1702,2241,2012-08-14,5,Excellent product!
REV-0000318,1704,604,2012-08-09,4,Good overall
REV-0000319,1705,382,2012-08-05,1,Would not recommend
REV-0000320,1706,1916,2012-07-25,4,Works well
REV-0000321,1711,726,2012-08-05,3,Mixed feelings
REV-0000322,1714,785,2012-08-14,4,Happy with purchase
REV-0000323,1719,691,2012-07-21,4,Works well
REV-0000324,1720,1000,2012-08-12,2,Below expectations
REV-0000325,1734,2373,2012-07-25,4,Solid choice
REV-0000326,1735,1191,2012-07-31,5,Great quality
REV-0000328,1742,770,2012-07-31,5,Excellent product!
REV-0000330,1747,1934,2012-08-17,4,Solid choice
REV-0000331,1763,2400,2012-08-07,5,Great quality
REV-0000332,1767,992,2012-08-07,4,Solid choice
REV-0000333,1769,2331,2012-07-26,4,Happy with purchase
REV-0000334,1771,2071,2012-07-30,2,Below expectations
REV-0000335,1780,512,2012-08-04,5,Very satisfied
REV-0000336,1783,574,2012-08-09,3,Average product
REV-0000337,1787,647,2012-07-20,4,Solid choice
REV-0000339,1808,910,2012-08-16,5,Highly recommend
REV-0000340,1814,976,2012-08-03,2,Some issues
REV-0000341,1817,757,2012-08-08,5,Great quality
REV-0000342,1817,758,2012-08-11,5,Excellent product!
REV-0000344,1826,1062,2012-08-08,5,Great quality
REV-0000348,1854,2083,2012-08-03,5,Excellent product!
REV-0000349,1863,2400,2012-07-30,2,Below expectations
REV-0000350,1872,1000,2012-08-13,5,Very satisfied
REV-0000351,1875,1436,2012-07-31,4,Solid choice
REV-0000352,1893,915,2012-08-04,4,Solid choice
REV-0000355,1899,964,2012-07-22,5,Highly recommend
REV-0000356,1903,676,2012-08-07,4,Solid choice
REV-0000357,1919,671,2012-08-12,5,Very satisfied
REV-0000358,1920,2056,2012-08-19,4,Happy with purchase
REV-0000359,1924,702,2012-07-26,4,Happy with purchase
REV-0000361,1950,1000,2012-07-21,5,Very satisfied
REV-0000362,1966,2046,2012-08-11,5,Very satisfied
REV-0000363,1971,739,2012-08-07,4,Happy with purchase
REV-0000366,1993,725,2012-08-05,4,Works well
REV-0000367,1993,795,2012-07-31,4,Solid choice
REV-0000370,2018,1859,2012-08-13,4,Solid choice
REV-0000371,2028,786,2012-08-06,3,Average product
REV-0000372,2035,559,2012-08-11,2,Would not reorder
REV-0000373,2036,2352,2012-08-12,5,Very satisfied
REV-0000376,2063,1765,2012-08-14,5,Great quality
REV-0000377,2087,964,2012-07-21,4,Works well
REV-0000379,2097,2400,2012-08-06,5,Highly recommend
REV-0000380,2105,769,2012-08-13,5,Very satisfied
REV-0000381,2106,770,2012-08-16,4,Solid choice
REV-0000382,2116,2388,2012-08-14,4,Good overall
REV-0000383,2119,2235,2012-08-02,4,Solid choice
REV-0000384,2127,671,2012-08-02,4,Works well
REV-0000385,2141,618,2012-08-02,5,Highly recommend
REV-0000386,2142,826,2012-08-08,2,Below expectations
REV-0000387,2143,2396,2012-08-13,5,Great quality
REV-0000388,2147,2235,2012-08-03,1,Not as described
REV-0000389,2154,1432,2012-08-08,2,Some issues
REV-0000391,2157,2071,2012-07-28,1,Very disappointed
REV-0000392,2172,1041,2012-08-10,5,Highly recommend
REV-0000393,2184,647,2012-08-21,3,"Decent, nothing special"
REV-0000394,2185,726,2012-08-06,5,Great quality
REV-0000395,2186,1114,2012-07-26,4,Solid choice
REV-0000396,2205,475,2012-07-20,5,Great quality
REV-0000397,2209,1182,2012-07-23,5,Highly recommend
REV-0000398,2214,1005,2012-07-23,4,Works well
REV-0000400,2224,767,2012-08-07,4,Solid choice
REV-0000401,2227,725,2012-08-03,4,Solid choice
REV-0000402,2231,550,2012-07-22,4,Works well
REV-0000405,2258,647,2012-07-25,4,Works well
REV-0000406,2259,702,2012-07-31,4,Good overall
REV-0000407,2267,739,2012-08-13,2,Some issues
REV-0000408,2268,1053,2012-08-10,5,Excellent product!
REV-0000411,2312,954,2012-08-01,3,Mixed feelings
REV-0000412,2314,964,2012-08-08,4,Works well
REV-0000413,2316,976,2012-08-12,3,Mixed feelings
REV-0000414,2318,826,2012-07-26,5,Great quality
REV-0000415,2324,559,2012-07-24,5,Great quality
REV-0000417,2335,400,2012-07-24,3,"Decent, nothing special"
REV-0000418,2336,1859,2012-07-24,4,Solid choice
REV-0000419,2341,826,2012-08-09,1,Very disappointed
REV-0000420,2349,1870,2012-08-23,4,Works well
REV-0000421,2362,1903,2012-07-26,4,Works well
REV-0000422,2364,512,2012-08-15,5,Excellent product!
REV-0000423,2365,31,2012-08-05,4,Solid choice
REV-0000424,2369,631,2012-08-10,4,Solid choice
REV-0000425,2373,992,2012-08-01,3,Mixed feelings
REV-0000428,2390,396,2012-08-12,1,Very disappointed
REV-0000431,2409,1114,2012-08-21,4,Happy with purchase
REV-0000432,2411,604,2012-07-23,3,"Decent, nothing special"
REV-0000433,2425,1201,2012-08-04,4,Happy with purchase
REV-0000434,2432,2054,2012-08-13,5,Excellent product!
REV-0000435,2433,1173,2012-08-13,3,Average product
REV-0000436,2441,1926,2012-08-16,5,Highly recommend
REV-0000437,2443,952,2012-08-09,5,Very satisfied
REV-0000440,2456,1974,2012-08-03,1,Very disappointed
REV-0000441,2460,1000,2012-08-13,4,Works well
REV-0000442,2465,2380,2012-07-28,1,Not as described
REV-0000443,2466,2251,2012-08-07,4,Happy with purchase
REV-0000444,2477,2373,2012-07-27,5,Excellent product!
REV-0000445,2487,2280,2012-08-12,4,Solid choice
REV-0000446,2488,1432,2012-08-02,3,"Decent, nothing special"
REV-0000447,2495,702,2012-08-06,3,Average product
REV-0000448,2500,2045,2012-08-13,3,Average product
REV-0000449,2510,2253,2012-08-18,5,Very satisfied
REV-0000451,2517,1479,2012-08-08,3,Mixed feelings
REV-0000452,2517,1480,2012-07-26,4,Works well
REV-0000453,2526,757,2012-08-18,5,Excellent product!
REV-0000454,2526,758,2012-08-02,5,Highly recommend
REV-0000456,2539,726,2012-08-12,2,Some issues
REV-0000457,2551,2400,2012-08-17,5,Great quality
REV-0000458,2555,1006,2012-08-04,4,Happy with purchase
REV-0000459,2563,600,2012-08-26,5,Highly recommend
REV-0000463,2572,2380,2012-08-02,5,Highly recommend
REV-0000464,2574,2332,2012-07-28,2,Would not reorder
REV-0000465,2581,2396,2012-08-14,5,Excellent product!
REV-0000467,2587,2400,2012-08-19,4,Works well
REV-0000468,2612,2332,2012-07-30,4,Good overall
REV-0000469,2614,606,2012-08-11,4,Good overall
REV-0000470,2618,1114,2012-07-27,2,Would not reorder
REV-0000471,2626,2071,2012-08-11,5,Highly recommend
REV-0000472,2632,1934,2012-08-07,4,Good overall
REV-0000473,2638,1046,2012-07-28,4,Works well
REV-0000475,2647,1186,2012-08-21,5,Highly recommend
REV-0000476,2648,647,2012-08-21,2,Some issues
REV-0000477,2650,2253,2012-08-11,4,Solid choice
REV-0000478,2654,2384,2012-07-29,5,Very satisfied
REV-0000479,2655,2055,2012-07-28,5,Excellent product!
REV-0000481,2663,1431,2012-08-16,5,Excellent product!
REV-0000482,2673,671,2012-08-21,2,Would not reorder
REV-0000485,2702,729,2012-08-02,5,Very satisfied
REV-0000488,2731,2400,2012-07-24,5,Highly recommend
REV-0000489,2732,2083,2012-08-06,5,Very satisfied
REV-0000490,2734,681,2012-08-18,2,Below expectations
REV-0000491,2740,1213,2012-08-16,3,Average product
REV-0000492,2747,1003,2012-08-03,5,Great quality
REV-0000493,2748,785,2012-07-24,4,Happy with purchase
REV-0000494,2750,1186,2012-08-11,3,Mixed feelings
REV-0000495,2751,512,2012-08-23,2,Would not reorder
REV-0000496,2753,768,2012-08-18,4,Good overall
REV-0000497,2755,739,2012-07-23,5,Highly recommend
REV-0000498,2758,1215,2012-08-20,5,Very satisfied
REV-0000499,2759,2047,2012-08-24,2,Would not reorder
REV-0000500,2760,2384,2012-08-23,3,Mixed feelings
REV-0000501,2761,1818,2012-08-19,5,Excellent product!
REV-0000503,2775,1926,2012-08-02,5,Great quality
REV-0000506,2787,915,2012-08-21,5,Great quality
REV-0000508,2796,2234,2012-08-16,1,Very disappointed
REV-0000509,2798,2331,2012-08-18,4,Works well
REV-0000512,2812,910,2012-07-31,5,Very satisfied
REV-0000513,2818,910,2012-08-17,4,Good overall
REV-0000518,2863,681,2012-08-23,3,Average product
REV-0000519,2866,1766,2012-07-23,4,Solid choice
REV-0000520,2909,768,2012-08-06,2,Below expectations
REV-0000521,2910,767,2012-07-26,5,Excellent product!
REV-0000522,2911,989,2012-08-05,5,Highly recommend
REV-0000523,2912,1000,2012-08-05,4,Happy with purchase
REV-0000526,2942,574,2012-08-14,4,Good overall
REV-0000527,2946,2400,2012-07-27,4,Solid choice
REV-0000528,2956,2071,2012-07-31,5,Very satisfied
REV-0000530,2969,467,2012-08-03,5,Highly recommend
REV-0000531,2973,819,2012-07-23,5,Very satisfied
REV-0000532,2974,729,2012-08-03,4,Works well
REV-0000535,2983,631,2012-08-14,5,Great quality
REV-0000536,2989,979,2012-08-09,5,Great quality
REV-0000537,2990,702,2012-07-30,5,Excellent product!
REV-0000538,3001,976,2012-07-30,3,"Decent, nothing special"
REV-0000539,3003,1046,2012-07-31,2,Below expectations
REV-0000540,3004,967,2012-08-14,2,Below expectations
REV-0000541,3011,676,2012-08-16,5,Very satisfied
REV-0000545,3040,1927,2012-08-03,5,Highly recommend
REV-0000546,3041,1916,2012-08-18,5,Excellent product!
REV-0000547,3044,2064,2012-07-27,5,Very satisfied
REV-0000548,3045,604,2012-07-26,5,Highly recommend
REV-0000549,3048,767,2012-07-27,4,Works well
REV-0000550,3048,768,2012-08-21,5,Great quality
REV-0000551,3052,725,2012-08-16,5,Great quality
REV-0000552,3056,396,2012-08-18,4,Happy with purchase
REV-0000553,3059,467,2012-08-19,5,Highly recommend
REV-0000554,3060,635,2012-08-01,3,Mixed feelings
REV-0000555,3066,93,2012-08-17,5,Excellent product!
REV-0000559,3080,2400,2012-08-24,5,Very satisfied
REV-0000560,3081,906,2012-08-10,4,Good overall
REV-0000561,3082,2396,2012-08-07,4,Happy with purchase
REV-0000563,3093,103,2012-08-17,5,Highly recommend
REV-0000564,3103,989,2012-07-29,2,Some issues
REV-0000566,3116,976,2012-07-31,4,Happy with purchase
REV-0000567,3141,940,2012-08-18,4,Good overall
REV-0000568,3144,396,2012-08-01,5,Excellent product!
REV-0000569,3147,1001,2012-08-09,5,Excellent product!
REV-0000570,3153,631,2012-08-08,5,Very satisfied
REV-0000571,3160,769,2012-08-15,3,Average product
REV-0000573,3168,826,2012-07-28,3,Mixed feelings
REV-0000574,3171,976,2012-08-16,3,Mixed feelings
REV-0000576,3190,2055,2012-08-22,5,Highly recommend
REV-0000577,3195,2332,2012-08-04,4,Works well
REV-0000578,3197,981,2012-08-19,3,"Decent, nothing special"
REV-0000580,3209,733,2012-08-09,2,Below expectations
REV-0000581,3212,725,2012-08-06,4,Good overall
REV-0000582,3213,726,2012-08-07,5,Very satisfied
REV-0000583,3226,976,2012-07-31,1,Very disappointed
REV-0000584,3229,622,2012-08-21,5,Great quality
REV-0000585,3230,2054,2012-08-18,5,Excellent product!
REV-0000589,3257,1348,2012-08-15,3,"Decent, nothing special"
REV-0000590,3262,1109,2012-07-30,4,Solid choice
REV-0000591,3270,2407,2012-08-10,1,Poor quality
REV-0000595,3283,2400,2012-08-17,5,Great quality
REV-0000596,3287,2199,2012-08-06,4,Good overall
REV-0000597,3293,2235,2012-08-06,2,Some issues
REV-0000598,3299,1182,2012-08-15,2,Some issues
REV-0000599,3310,754,2012-07-25,4,Happy with purchase
REV-0000601,3316,910,2012-08-04,2,Below expectations
REV-0000603,3318,396,2012-08-16,5,Very satisfied
REV-0000606,3342,1916,2012-08-06,5,Very satisfied
REV-0000607,3344,1065,2012-08-20,5,Excellent product!
REV-0000608,3346,895,2012-08-01,2,Below expectations
REV-0000609,3347,2045,2012-08-10,2,Below expectations
REV-0000610,3359,1061,2012-08-19,5,Very satisfied
REV-0000611,3361,757,2012-08-05,4,Good overall
REV-0000612,3368,2070,2012-08-03,4,Solid choice
REV-0000613,3369,1926,2012-08-09,4,Solid choice
REV-0000614,3369,1927,2012-08-17,3,Average product
REV-0000615,3370,915,2012-08-06,3,"Decent, nothing special"
REV-0000616,3379,964,2012-07-31,5,Great quality
REV-0000617,3389,1062,2012-08-24,4,Happy with purchase
REV-0000618,3391,2012,2012-08-16,5,Great quality
REV-0000619,3401,1450,2012-07-29,4,Solid choice
REV-0000620,3409,739,2012-08-21,5,Very satisfied
REV-0000621,3410,795,2012-07-25,2,Would not reorder
REV-0000622,3410,796,2012-08-09,5,Very satisfied
REV-0000623,3420,609,2012-08-04,5,Highly recommend
REV-0000626,3424,559,2012-08-12,4,Solid choice
REV-0000627,3437,396,2012-08-08,4,Solid choice
REV-0000629,3442,786,2012-08-06,4,Works well
REV-0000630,3451,729,2012-08-24,5,Highly recommend
REV-0000632,3479,1123,2012-08-12,4,Good overall
REV-0000633,3492,1974,2012-08-07,3,Mixed feelings
REV-0000635,3496,725,2012-08-22,5,Great quality
REV-0000636,3497,726,2012-07-24,4,Works well
REV-0000637,3500,768,2012-07-31,4,Happy with purchase
REV-0000638,3501,767,2012-08-16,5,Highly recommend
REV-0000641,3540,785,2012-08-12,4,Solid choice
REV-0000642,3546,2252,2012-08-12,5,Highly recommend
REV-0000644,3567,1927,2012-07-28,4,Good overall
REV-0000645,3573,1186,2012-08-15,4,Happy with purchase
REV-0000650,3588,992,2012-08-22,4,Good overall
REV-0000651,3591,2384,2012-07-24,3,Mixed feelings
REV-0000653,3593,964,2012-08-05,3,Mixed feelings
REV-0000654,3608,573,2012-08-24,5,Highly recommend
REV-0000655,3611,1927,2012-08-18,4,Happy with purchase
REV-0000656,3622,786,2012-07-30,5,Great quality
REV-0000657,3630,826,2012-08-18,1,Poor quality
REV-0000658,3645,757,2012-08-27,3,"Decent, nothing special"
REV-0000661,3657,2400,2012-08-21,3,"Decent, nothing special"
REV-0000662,3665,592,2012-07-27,1,Poor quality
REV-0000663,3674,2241,2012-08-08,5,Highly recommend
REV-0000664,3676,467,2012-08-08,4,Good overall
REV-0000665,3697,976,2012-07-25,4,Good overall
REV-0000667,3701,2241,2012-08-05,3,"Decent, nothing special"
REV-0000668,3704,1005,2012-08-18,5,Great quality
REV-0000669,3705,1014,2012-08-23,5,Very satisfied
REV-0000670,3722,2056,2012-08-03,3,Average product
REV-0000672,3733,826,2012-08-15,3,Average product
REV-0000673,3736,910,2012-07-29,5,Highly recommend
REV-0000674,3741,1991,2012-08-05,3,Mixed feelings
