product_id,product_name,category,segment,size,color,price,cogs
32,DragonWear UE-02,Streetwear,Performance,L,white,8386.0304347826,7570.0696734783
33,MekongFit UC-23,Streetwear,Everyday,M,black,9335.13,8663.00064
34,PhoenixWear UE-03,Streetwear,Performance,L,red,5932.9453012048,4969.4349842892
35,VietMode MA-44,Casual,All-weather,S,pink,9126.5620481928,6083.7662613253
36,VietMode RS-17,Outdoor,Premium,XL,yellow,63.5258060753,35.4973723599
37,VietMode MA-35,Casual,All-weather,XL,yellow,6504.1598275862,6178.9518362069
38,VietMode RS-73,Outdoor,Premium,XL,purple,42.337223193,25.5141154507
39,BambooCraft UC-23,Streetwear,Everyday,S,white,8222.5278947368,5716.3013924211
40,UrbanVN RP-24,Outdoor,Activewear,M,yellow,3728.773125,2876.7484659375
41,MekongFit RP-54,Outdoor,Activewear,S,pink,1920.87,1074.150504
42,HanoiStreet UR-04,Streetwear,Standard,L,pink,46.5707813079,26.6928429334
43,NamStyle YY-23,GenZ,Trendy,S,orange,3086.37,2034.843741
44,HanoiStreet UC-09,Streetwear,Everyday,L,green,8360.9906896552,4980.6421538276
45,LotusWear UE-98,Streetwear,Performance,M,silver,17.8095463899,10.3905237224
46,VietMode RP-34,Outdoor,Activewear,L,orange,5598.4315699659,3566.2009100683
47,VietMotion MA-16,Casual,All-weather,L,orange,3857.9935483871,3393.1053258065
48,DragonWear UR-15,Streetwear,Standard,S,white,5789.7,5500.215
49,UrbanVN UC-05,Streetwear,Everyday,L,red,6299.1109539474,5095.9807617434
50,MekongFit UR-06,Streetwear,Standard,M,yellow,440.37,418.3515
51,VietMode MP-15,Casual,Activewear,XL,silver,5983.74,5684.553
52,VietMode RS-23,Outdoor,Premium,M,purple,5039.37,4674.519612
53,UrbanVN UC-17,Streetwear,Everyday,L,orange,4066.0944094488,3089.4185322992
54,DragonWear UM-25,Streetwear,Balanced,L,pink,52.6379968011,33.9202374909
55,VietMode RP-50,Outdoor,Activewear,L,pink,4912.74,4573.269666
56,VietMode RP-37,Outdoor,Activewear,M,purple,4695.1036363636,2763.5380003636
57,DragonWear UM-09,Streetwear,Balanced,L,orange,36.3393609993,22.6475069976
58,VietMode RP-25,Outdoor,Activewear,M,blue,4346.3294685315,4129.0129951049
59,LotusWear UE-05,Streetwear,Performance,S,white,31.0464886595,18.3757041979
60,HanoiStreet YY-12,GenZ,Trendy,XL,black,3527.37,2848.351275
61,HanoiStreet UE-01,Streetwear,Performance,S,orange,20.5224077542,12.1275355514
62,MekongFit UE-18,Streetwear,Performance,L,orange,2220.5676228209,2109.5392416799
63,HanoiStreet MA-09,Casual,All-weather,L,orange,3720.7118918919,3306.5966583243
64,PhoenixWear UM-12,Streetwear,Balanced,M,black,7559.25,6029.2578
65,VietMode RP-20,Outdoor,Activewear,S,pink,36.2179049964,22.753484061199998
66,UrbanVN RP-50,Outdoor,Activewear,XL,purple,692.3085964912,657.6931666667
67,VietMotion UE-12,Streetwear,Performance,L,pink,18.4413240878,10.1630060123
68,VietMotion UE-23,Streetwear,Performance,M,yellow,27.9870490962,17.254118409
69,DragonWear UM-20,Streetwear,Balanced,M,blue,12532.0318181818,7611.9561263636
70,DragonWear UM-06,Streetwear,Balanced,XL,yellow,36.6054501359,20.8106849943
71,HanoiStreet RS-08,Outdoor,Premium,S,white,1932.1680997625,1751.3171656247
72,VietMode RP-67,Outdoor,Activewear,XL,purple,33.8618822691,21.3255824331
73,HanoiStreet RP-60,Outdoor,Activewear,S,orange,,1835.397459
74,SaigonCore UE-19,Streetwear,Performance,S,white,7238.7,5703.37173
75,SaigonFlex UC-95,Streetwear,Everyday,L,red,6176.85,3866.090415
76,VietMode MP-08,Casual,Activewear,S,red,5669.37,5385.9015
77,DragonWear UM-35,Streetwear,Balanced,S,pink,11844.0,9063.0288
78,MekongFit RP-39,Outdoor,Activewear,M,blue,711.0279925651,525.02306971
79,MekongFit MA-10,Casual,All-weather,S,orange,2991.8146397188,2762.6416383163
80,VietMode RP-34,Outdoor,Activewear,L,orange,4865.7170111732,4293.9952623603
81,HanoiStreet RS-17,Outdoor,Premium,M,blue,3464.37,3291.1515
82,VietMode RP-43,Outdoor,Activewear,XL,black,5038.74,4786.803
83,VietMotion YY-10,GenZ,Trendy,M,black,2015.37,1140.900957
84,HanoiStreet RP-51,Outdoor,Activewear,XL,blue,3884.3831348511,2371.8043421401
85,PhoenixWear UM-02,Streetwear,Balanced,XL,black,6929.37,5689.01277
86,HanoiStreet UE-03,Streetwear,Performance,L,white,45.8332737738,27.7385135332
87,SaigonCore YY-38,GenZ,Trendy,XL,blue,1704.7910526316,1064.9829705789
88,VietMode RS-16,Outdoor,Premium,L,pink,34.111613978,20.527385661
89,HanoiStreet RP-79,Outdoor,Activewear,XL,black,811.8865136952,584.9642331174
90,MekongStyle UC-14,Streetwear,Everyday,L,orange,14486.85,11301.191685
91,HanoiStreet MA-16,Casual,All-weather,M,yellow,40.7615243442,24.1560183419
92,DragonWear UM-38,Streetwear,Balanced,XL,black,9513.0,9037.35
93,LotusWear UE-37,Streetwear,Performance,S,green,32.6588309424,20.310676884
94,UrbanVN UE-03,Streetwear,Performance,XL,blue,9308.5464705882,5375.6855867647
95,HanoiStreet UC-27,Streetwear,Everyday,S,white,3906.5101392111,2223.9762222529
96,DragonWear RP-21,Outdoor,Activewear,L,green,5043.402,4791.2319
97,MekongFit UE-04,Streetwear,Performance,S,pink,4290.5766420664,4000.1046033985
98,PhoenixWear UC-04,Streetwear,Everyday,L,white,5039.37,2880.503892
99,BambooCraft UM-03,Streetwear,Balanced,M,purple,23.2535317918,13.3311555407
100,BambooCraft UM-17,Streetwear,Balanced,XL,yellow,12504.4916216216,11879.2670405405
101,UrbanVN UR-27,Streetwear,Standard,S,white,37.446745676,23.061397961
102,UrbanVN RS-12,Outdoor,Premium,M,blue,1448.37,800.514099
103,UrbanVN MA-05,Casual,All-weather,S,orange,3973.6901335878,2680.6513641183
104,HanoiStreet RP-66,Outdoor,Activewear,L,pink,1477.4889495225,1174.3082170805
105,VietMode RP-56,Outdoor,Activewear,S,white,3275.37,2097.874485
106,HanoiStreet UM-22,Streetwear,Balanced,L,pink,10919.37,10373.4015
107,SaigonFlex UC-22,Streetwear,Everyday,M,silver,10090.4426045016,7554.7143779904
108,MekongFit UC-27,Streetwear,Everyday,M,purple,2511.495,2353.773114
109,MekongStyle UC-08,Streetwear,Everyday,S,green,69.4711302235,42.8768364516
110,VietMode RS-45,Outdoor,Premium,XL,silver,5235.274109589,4973.5104041096
111,SaigonFlex UC-83,Streetwear,Everyday,L,pink,14262.4125,13549.291875
112,HanoiStreet UM-35,Streetwear,Balanced,XL,black,35.4907596248,22.6643201232
113,VietMode RP-39,Outdoor,Activewear,XL,silver,3892.4508661417,3697.8283228346
114,HanoiStreet UE-31,Streetwear,Performance,L,orange,5687.85,2991.240315
115,SaigonCore YY-16,GenZ,Trendy,M,black,3791.745,3602.15775
116,SaigonFlex UC-15,Streetwear,Everyday,L,red,6110.1062665528,5804.6009532251
117,UrbanVN RP-40,Outdoor,Activewear,M,purple,1070.37,1016.8515
118,LotusWear UR-18,Streetwear,Standard,L,green,8877.4269230769,4855.9525269231
119,SaigonCore YY-12,GenZ,Trendy,M,silver,2735.5351376147,2598.7583807339
120,VietMotion RP-47,Outdoor,Activewear,L,red,1511.37,944.455113
121,VietMotion UE-03,Streetwear,Performance,M,yellow,25.0075745868,15.3832104176
122,DragonWear UM-28,Streetwear,Balanced,M,black,23.8486371384,13.2107779979
123,VietMode RS-14,Outdoor,Premium,S,green,2706.4070121951,2571.0866615854
124,VietMode UE-05,Streetwear,Performance,XL,purple,5857.74,4998.409542
125,SaigonFlex UM-42,Streetwear,Balanced,M,silver,9651.796875,9169.20703125
126,SaigonFlex UC-57,Streetwear,Everyday,S,orange,11573.637804878,7346.9452785366
127,MekongFit UR-01,Streetwear,Standard,S,white,4987.5217241379,4154.1068440345
128,VietMode RP-13,Outdoor,Activewear,M,black,5164.74,3993.893442
129,MekongFit RP-48,Outdoor,Activewear,L,orange,2676.87,2543.0265
130,LotusWear UE-10,Streetwear,Performance,M,yellow,10606.05,10075.7475
131,VietMode RP-84,Outdoor,Activewear,S,orange,2068.3202760736,1296.4231490429
132,MekongFit UE-16,Streetwear,Performance,S,red,6400.8317067834,3691.359645302
133,SaigonFlex UM-75,Streetwear,Balanced,L,red,12524.8736931818,7330.8085726193
134,VietMode RP-99,Outdoor,Activewear,XL,silver,5076.2105882353,4041.1712492941
135,UrbanVN UC-18,Streetwear,Everyday,XL,blue,3872.0795914742,3180.9133843961
136,HanoiStreet UM-12,Streetwear,Balanced,S,pink,10146.7368947368,8943.3338990211
137,SaigonFlex UC-07,Streetwear,Everyday,L,orange,10862.1209497207,7602.3984527095
138,VietMode RP-52,Outdoor,Activewear,S,red,4629.24,4397.778
139,PhoenixWear UE-02,Streetwear,Performance,M,yellow,5228.37,4966.9515
140,SaigonFlex UM-88,Streetwear,Balanced,XL,blue,19535.0117910448,18558.2612014925
141,LotusWear UE-04,Streetwear,Performance,XL,blue,7286.85,6664.55301
142,VietMotion UR-04,Streetwear,Standard,M,black,33.3948446627,21.0987527355
143,VietMode RP-00,Outdoor,Activewear,S,pink,1537.08912,1460.234664
144,UrbanVN RP-35,Outdoor,Activewear,S,red,1177.47,615.81681
145,VietMode RS-65,Outdoor,Premium,XL,silver,31.6604662182,18.8453171967
146,DragonWear UR-38,Streetwear,Standard,XL,silver,24.87537893,14.2243732279
147,VietMotion UC-20,Streetwear,Everyday,S,orange,4787.37,2481.772608
148,DragonWear MA-13,Casual,All-weather,M,blue,5260.3,4066.73793
149,LotusWear UE-18,Streetwear,Performance,M,silver,8483.475,6521.2472325
150,VietMode UR-03,Streetwear,Standard,L,red,5353.74,4705.93746
151,VietMode RP-11,Outdoor,Activewear,XL,yellow,5669.1502325581,4481.4632588372
152,HanoiStreet MA-14,Casual,All-weather,XL,silver,37.6784165097,21.7541110304
153,UrbanVN YY-02,GenZ,Trendy,L,pink,3660.1980943026,3166.0713515717
154,SaigonFlex UC-35,Streetwear,Everyday,L,red,10899.8891489362,10354.8946914894
155,NamStyle YY-19,GenZ,Trendy,S,pink,61.5876146969,36.2904622756
156,SaigonCore MA-05,Casual,All-weather,L,red,9553.2652173913,6129.3749634783
157,HanoiStreet YY-09,GenZ,Trendy,S,pink,3261.7658868895,2694.2186225707
158,DragonWear UR-06,Streetwear,Standard,XL,purple,40.6709622817,24.0037209577
159,VietMotion RS-07,Outdoor,Premium,L,white,54.3327146242,33.2334215995
160,UrbanVN RP-55,Outdoor,Activewear,S,red,2026.0782152975,1593.3079085099
161,SaigonCore RP-13,Outdoor,Activewear,S,white,5217.5079310345,4956.6325344828
162,SaigonCore YY-33,GenZ,Trendy,L,pink,3592.5805263158,3074.1711563684
163,VietMode UE-02,Streetwear,Performance,S,orange,8188.74,4955.825448
164,SaigonFlex UC-18,Streetwear,Everyday,M,blue,11516.6172413793,9748.8164948276
165,DragonWear UC-06,Streetwear,Everyday,L,white,23.0298308674,14.6510846866
166,MekongFit RP-36,Outdoor,Activewear,L,red,4610.97,4380.4215
167,VietMode RS-80,Outdoor,Premium,L,orange,18.0640463832,11.5100193891
168,SaigonFlex UC-60,Streetwear,Everyday,XL,purple,8975.7274752475,5284.9083374257
169,VietMotion UR-16,Streetwear,Standard,M,blue,20.3753238786,12.3066658334
170,LotusWear UE-75,Streetwear,Performance,L,white,13924.6047169811,13228.3744811321
171,VietMode RP-24,Outdoor,Activewear,S,orange,5354.37,5086.6515
172,VietMode RP-77,Outdoor,Activewear,M,purple,4230.24,2410.813776
173,SaigonCore YY-51,GenZ,Trendy,S,green,1322.37,1104.311187
174,PhoenixWear UM-14,Streetwear,Balanced,XL,blue,7489.4293220339,5615.574105661
175,UrbanVN UE-11,Streetwear,Performance,XL,black,9008.37,6208.568604
176,VietMotion RS-03,Outdoor,Premium,L,red,3778.7642307692,3589.8260192308
177,LotusWear UR-16,Streetwear,Standard,S,white,7556.85,7036.183035
178,VietMode RS-19,Outdoor,Premium,M,black,16.7541673486,9.2704210859
179,SaigonFlex UM-08,Streetwear,Balanced,XL,blue,21108.8045454545,18867.0495027273
180,NamStyle YY-26,GenZ,Trendy,XL,purple,3144.3963157895,2987.1765
181,VietMode RP-33,Outdoor,Activewear,M,black,5598.4315699659,3174.8705433276
182,DragonWear UE-09,Streetwear,Performance,M,black,8498.7,8073.765
183,UrbanVN UC-30,Streetwear,Everyday,XL,purple,50.5442348496,32.3297899788
184,VietMode RP-97,Outdoor,Activewear,M,purple,4692.24,4457.628
185,UrbanVN UR-35,Streetwear,Standard,S,orange,44.6528190545,27.6734571774
186,VietMode RS-83,Outdoor,Premium,M,purple,5039.37,2724.283422
187,DragonWear UM-39,Streetwear,Balanced,S,orange,30.0194274458,19.2589285479
188,SaigonFlex UM-14,Streetwear,Balanced,M,yellow,20.1906518108,12.9569743963
189,UrbanVN UE-21,Streetwear,Performance,M,black,4375.1152471483,4156.3594847909
190,VietMotion UE-11,Streetwear,Performance,M,silver,5033.7,3153.61305
191,HanoiStreet UR-36,Streetwear,Standard,L,red,29.9333349139,18.238201168
192,PhoenixWear UE-14,Streetwear,Performance,M,black,6821.85,5840.86797
193,HanoiStreet UR-31,Streetwear,Standard,M,purple,45.1438302907,25.5238517277
194,SaigonFlex UC-84,Streetwear,Everyday,XL,yellow,,6509.61927
195,SaigonCore YY-17,GenZ,Trendy,L,orange,4346.37,2195.351487
196,LotusWear UR-20,Streetwear,Standard,S,pink,6826.6227272727,5780.7841254545
197,DragonWear MA-25,Casual,All-weather,M,purple,36.505936259,22.2035327135
198,VietMotion MA-01,Casual,All-weather,XL,silver,78.3568178594,46.385099515
199,IndigoViet UM-02,Streetwear,Balanced,S,red,14491.7082352941,8826.8994861176
200,VietMode UE-14,Streetwear,Performance,S,white,5416.74,3482.422146
201,VietMode RP-64,Outdoor,Activewear,S,orange,3202.9493023256,2647.2375983721
202,UrbanVN MA-13,Casual,All-weather,S,red,3366.6029721362,3198.2728235294
203,PhoenixWear UE-16,Streetwear,Performance,XL,blue,8504.37,7320.561696
204,HanoiStreet RP-16,Outdoor,Activewear,S,pink,818.37,554.363838
205,NamStyle YY-15,GenZ,Trendy,S,white,1637.37,870.917103
206,DragonWear UR-35,Streetwear,Standard,S,white,6815.3936170213,3720.5233755319
207,VietMode RS-76,Outdoor,Premium,L,pink,26.3027291495,14.6252434841
208,VietMode RP-23,Outdoor,Activewear,XL,black,5354.37,2882.257371
209,UrbanVN UE-02,Streetwear,Performance,L,orange,7307.37,5269.344507
210,PhoenixWear UC-02,Streetwear,Everyday,S,orange,16.3590937904,9.1373857923
211,DragonWear UR-39,Streetwear,Standard,S,pink,43.4599185015,28.0314787392
212,VietMode RP-80,Outdoor,Activewear,S,pink,4471.74,4248.153
213,UrbanVN RP-43,Outdoor,Activewear,S,pink,2865.87,2722.5765
214,MekongFit RP-10,Outdoor,Activewear,S,white,1960.245,1605.832704
215,MekongFit RP-19,Outdoor,Activewear,M,blue,2834.37,2692.6515
216,VietMode RP-02,Outdoor,Activewear,L,red,3195.99,1813.724325
217,SaigonFlex UM-05,Streetwear,Balanced,S,red,9886.8028798683,7227.2529051838
218,MekongFit RP-11,Outdoor,Activewear,M,purple,3731.974912999,2473.1797748444
219,UrbanVN YY-05,GenZ,Trendy,M,black,42.869061124,25.6378717875
220,SaigonCore UE-16,Streetwear,Performance,M,black,6970.4569565217,6092.8764256957
221,MekongFit UC-06,Streetwear,Everyday,S,white,4808.37,4567.9515
222,SaigonFlex UC-28,Streetwear,Everyday,XL,blue,9445.0947557003,8972.8400179153
223,SaigonFlex UC-32,Streetwear,Everyday,XL,silver,10134.7768879668,8711.8542128963
224,SaigonCore UE-07,Streetwear,Performance,S,orange,7868.7,5265.73404
225,DragonWear RS-03,Outdoor,Premium,L,red,5039.37,3891.401514
226,VietMode RP-94,Outdoor,Activewear,L,orange,4400.34,2938.107018
227,VietMotion RP-13,Outdoor,Activewear,S,green,24.4027623604,14.0248314139
228,DragonWear RP-20,Outdoor,Activewear,M,purple,3779.37,3427.132716
229,LotusWear UM-01,Streetwear,Balanced,XL,blue,10136.85,5587.43172
230,HanoiStreet UM-06,Streetwear,Balanced,L,orange,4674.7290361446,4440.9925843373
231,DragonWear UM-16,Streetwear,Balanced,M,yellow,10073.7,6682.89258
232,SaigonFlex UC-91,Streetwear,Everyday,L,green,17013.8969461078,16163.2020988024
233,DragonWear MA-08,Casual,All-weather,S,pink,5353.4483679525,3709.4043741543
234,VietMode RP-71,Outdoor,Activewear,XL,yellow,3967.74,3426.540264
235,LotusWear RP-05,Outdoor,Activewear,M,silver,38.7751996099,23.5960830176
236,MekongFit RP-30,Outdoor,Activewear,S,white,22.1262674612,12.4396307653
237,MekongFit UM-10,Streetwear,Balanced,M,blue,7748.37,4407.272856
238,HanoiStreet UM-32,Streetwear,Balanced,S,pink,36.0763489774,20.9919345909
239,VietMode RS-09,Outdoor,Premium,XL,black,29.7323972031,18.0167881569
240,UrbanVN UE-08,Streetwear,Performance,S,pink,59.8090877155,38.7826178808
241,VietMotion RP-23,Outdoor,Activewear,L,green,3905.37,3541.780053
242,VietMotion UM-08,Streetwear,Balanced,M,blue,9638.37,9156.4515
243,VietMotion RP-29,Outdoor,Activewear,S,orange,32.2516137433,20.8648987366
244,VietMode RP-47,Outdoor,Activewear,XL,purple,3716.37,2789.878959
245,LotusWear UE-39,Streetwear,Performance,L,pink,10553.85,5995.642185
246,NamStyle YY-02,GenZ,Trendy,XL,black,2834.37,1825.901154
247,DragonWear UM-32,Streetwear,Balanced,M,purple,46.0084034729,26.1354202437
248,VietMotion YY-03,GenZ,Trendy,L,white,1618.1748648649,1252.4673454054
249,HanoiStreet RP-64,Outdoor,Activewear,S,green,44.7259937985,25.6617327169
250,DragonWear UE-11,Streetwear,Performance,XL,blue,9191.4460338101,8731.8737321196
251,SaigonFlex UC-52,Streetwear,Everyday,XL,silver,5610.653125,4180.4976434375
252,VietMode MA-16,Casual,All-weather,S,red,5373.0128571429,5104.3622142857
253,VietMode RP-29,Outdoor,Activewear,M,silver,30.0151656131,18.3196020341
254,UrbanVN UR-43,Streetwear,Standard,S,red,26.1375099247,16.6780072797
255,LotusWear UE-14,Streetwear,Performance,M,blue,8405.1924657534,6159.3250389041
256,UrbanVN RS-04,Outdoor,Premium,M,purple,1920.87,1824.8265
257,HanoiStreet RP-77,Outdoor,Activewear,M,yellow,2708.37,2535.305157
258,SaigonCore YY-48,GenZ,Trendy,M,blue,4462.2087096774,4239.0982741935
259,HanoiStreet UR-24,Streetwear,Standard,L,pink,18.0338764412,11.7128365171
260,VietMode RP-15,Outdoor,Activewear,XL,blue,29.7268306201,18.4087142776
261,BambooCraft UC-10,Streetwear,Everyday,XL,black,8630.37,5459.572062
262,BambooCraft UC-16,Streetwear,Everyday,M,silver,8661.2182758621,4709.1043765862
263,SaigonCore UE-13,Streetwear,Performance,L,pink,8251.7271428571,4414.6740214286
264,HanoiStreet RP-84,Outdoor,Activewear,S,green,3338.27,3052.847915
265,LotusWear UC-02,Streetwear,Everyday,S,pink,12720.3443181818,12084.3271022727
266,VietMotion UR-25,Streetwear,Standard,L,orange,48.9132290869,27.4036841787
267,UrbanVN RP-27,Outdoor,Activewear,S,orange,18.3304846486,11.2533043776
268,SaigonCore UM-01,Streetwear,Balanced,M,yellow,7101.1881818182,6343.4914028182
269,LotusWear UE-30,Streetwear,Performance,M,yellow,40950.0,30319.38
270,SaigonFlex UM-09,Streetwear,Balanced,S,white,22378.4482122905,17936.3262421508
271,MekongFit UE-25,Streetwear,Performance,M,yellow,2618.91,2284.475193
272,VietMode RP-08,Outdoor,Activewear,S,green,34.1010162833,21.1271728098
273,SaigonCore UC-05,Streetwear,Everyday,XL,yellow,9443.7,8971.515
274,VietMotion UR-07,Streetwear,Standard,S,white,37.7002430354,20.759208561
275,SaigonFlex UE-22,Streetwear,Performance,L,white,6526.873255814,5059.632147907
276,SaigonFlex UM-18,Streetwear,Balanced,M,blue,14675.85,10280.432925
277,SaigonFlex UM-00,Streetwear,Balanced,XL,purple,8656.966557377,6242.5385845246
278,SaigonFlex UC-75,Streetwear,Everyday,L,red,11122.506,9587.600172
279,VietMode RP-45,Outdoor,Activewear,M,blue,11.2598729892,6.8904684055
280,DragonWear MA-10,Casual,All-weather,L,red,8183.7,7774.515
281,HanoiStreet UR-20,Streetwear,Standard,L,white,77.3903796393,49.4043613174
282,VietMode MP-20,Casual,Activewear,S,orange,5164.74,2973.857292
283,MekongFit UR-12,Streetwear,Standard,XL,purple,5890.3127027027,5044.4637985946
284,HanoiStreet UE-05,Streetwear,Performance,S,green,11024.37,7005.987135
285,HanoiStreet UE-15,Streetwear,Performance,L,green,5178.6709985735,4255.8318266277
286,HanoiStreet RS-20,Outdoor,Premium,S,green,4614.0770524767,3811.689053051
287,UrbanVN UE-04,Streetwear,Performance,S,white,4691.61,4457.0295
288,SaigonFlex UM-46,Streetwear,Balanced,M,black,24.2083758568,14.9811171166
289,MekongFit RP-58,Outdoor,Activewear,S,orange,1422.8740268456,1014.2246063356
290,UrbanVN UR-18,Streetwear,Standard,XL,purple,4382.4132692308,3917.0009800385
291,UrbanVN UC-23,Streetwear,Everyday,S,pink,7055.37,6285.629133
292,VietMode MA-19,Casual,All-weather,XL,blue,23.4644455338,14.6117069467
293,SaigonFlex UM-64,Streetwear,Balanced,XL,yellow,12111.7911764706,8626.0176758824
294,VietMotion MA-17,Casual,All-weather,XL,blue,10199.7,8504.50986
295,BambooCraft UM-10,Streetwear,Balanced,S,orange,15214.6025581395,10097.9317178372
296,BambooCraft UM-14,Streetwear,Balanced,S,green,17668.0063636364,16784.6060454545
297,DragonWear RP-14,Outdoor,Activewear,XL,yellow,4325.34375,3585.70996875
298,MekongFit UE-31,Streetwear,Performance,XL,purple,3527.37,2364.748848
299,MekongFit UE-23,Streetwear,Performance,XL,silver,5444.7998642534,5172.5598710407
300,VietMode RP-01,Outdoor,Activewear,M,yellow,22.0907341173,12.8669376912
301,PhoenixWear UC-10,Streetwear,Everyday,S,red,5147.2831483715,4889.918990953
302,DragonWear UM-36,Streetwear,Balanced,M,yellow,14767.0770065076,14028.7231561822
303,SaigonFlex UM-63,Streetwear,Balanced,L,pink,21423.2469230769,16733.6981716154
304,NamStyle YY-01,GenZ,Trendy,L,red,1889.37,1538.513991
305,VietMode RP-54,Outdoor,Activewear,L,orange,4524.5025,4298.277375
306,HanoiStreet UE-29,Streetwear,Performance,S,red,61.9208813164,39.0092589614
307,MekongFit UM-11,Streetwear,Balanced,L,white,11011.5702881844,8816.9643297493
308,VietMode MP-22,Casual,Activewear,L,white,5353.74,5086.053
309,SaigonFlex UM-66,Streetwear,Balanced,M,black,13863.6504878049,13170.4679634146
310,VietMotion UC-10,Streetwear,Everyday,L,orange,25.2602294365,14.3514362619
311,VietMotion UR-24,Streetwear,Standard,M,black,25.2578074886,16.245892765
312,DragonWear RS-06,Outdoor,Premium,M,blue,3882.4609090909,3688.3378636364
313,VietMode RS-60,Outdoor,Premium,L,orange,72.6671956126,40.5491297083
314,DragonWear UR-29,Streetwear,Standard,L,pink,17.3729370163,9.5861676332
315,DragonWear MA-26,Casual,All-weather,L,green,9437.1432284981,8226.3577522818
316,SaigonFlex UC-42,Streetwear,Everyday,M,silver,36.4807567278,21.9774315849
317,VietMode RP-07,Outdoor,Activewear,XL,purple,4409.278125,2546.799045
318,NamStyle YY-25,GenZ,Trendy,L,white,1321.5873913043,1255.5080217391
319,MekongFit UC-01,Streetwear,Everyday,XL,yellow,1637.37,1262.248533
320,LotusWear UM-06,Streetwear,Balanced,S,pink,7714.35,4099.40559
321,VietMotion YY-21,GenZ,Trendy,S,orange,1233.0919072848,836.529549902
322,DragonWear MA-18,Casual,All-weather,L,pink,4712.7033333333,3098.1311713333
323,SaigonCore UC-07,Streetwear,Everyday,M,black,9474.1838709677,7096.1637193548
324,DragonWear UC-05,Streetwear,Everyday,M,blue,9191.7,7248.57462
325,SaigonFlex UC-13,Streetwear,Everyday,S,pink,10560.816,10032.7752
326,UrbanVN UR-11,Streetwear,Standard,S,pink,15.1676501492,8.4576802063
327,PhoenixWear UE-09,Streetwear,Performance,S,green,26.7918012845,15.0509670679
328,UrbanVN RP-08,Outdoor,Activewear,M,blue,5291.37,3064.232367
329,VietMotion RS-05,Outdoor,Premium,S,orange,56.9144321556,31.4880585892
330,HanoiStreet RP-01,Outdoor,Activewear,M,blue,1952.0120454545,1681.8535783636
331,LotusWear UE-45,Streetwear,Performance,S,white,13905.6528169014,7827.4919706338
332,SaigonFlex UC-38,Streetwear,Everyday,M,blue,3743.6903225806,2813.7576464516
333,LotusWear UE-41,Streetwear,Performance,S,red,52.3069435335,31.7315084972
334,LotusWear UR-24,Streetwear,Standard,S,orange,7556.85,4964.094765
335,VietMotion UR-15,Streetwear,Standard,S,orange,22.1445861144,13.5835017518
336,SaigonFlex UC-35,Streetwear,Everyday,L,red,6934.761627907,6364.0307459302
337,SaigonFlex UM-52,Streetwear,Balanced,XL,silver,18516.8158671587,14254.2448545387
